,date,Country/Region,Confirmed,Deaths
387,2020-03-10,Italy,10149.0,631.0
386,2020-03-10,South Korea,0.0,0.0
385,2020-03-10,Mainland China,80757.0,3136.0
384,2020-03-10,US,959.0,28.0
383,2020-03-09,Total,97990.0,3658.0
382,2020-03-09,Republic of Korea,0.0,0.0
381,2020-03-09,"Korea, South",0.0,0.0
380,2020-03-09,China,0.0,0.0
379,2020-03-09,Italy,9172.0,463.0
378,2020-03-09,South Korea,7478.0,53.0
377,2020-03-09,Mainland China,80735.0,3120.0
376,2020-03-09,US,605.0,22.0
375,2020-03-08,Total,95925.0,3534.0
374,2020-03-08,Republic of Korea,0.0,0.0
373,2020-03-08,"Korea, South",0.0,0.0
372,2020-03-08,China,0.0,0.0
371,2020-03-08,Italy,7375.0,366.0
370,2020-03-08,South Korea,7314.0,50.0
369,2020-03-08,Mainland China,80699.0,3097.0
368,2020-03-08,US,537.0,21.0
367,2020-03-07,Total,93993.0,3364.0
366,2020-03-07,Republic of Korea,0.0,0.0
365,2020-03-07,"Korea, South",0.0,0.0
364,2020-03-07,China,0.0,0.0
363,2020-03-07,Italy,5883.0,233.0
362,2020-03-07,South Korea,7041.0,44.0
361,2020-03-07,Mainland China,80652.0,3070.0
360,2020-03-07,US,417.0,17.0
359,2020-03-06,Total,92080.0,3295.0
358,2020-03-06,Republic of Korea,0.0,0.0
357,2020-03-06,"Korea, South",0.0,0.0
356,2020-03-06,China,0.0,0.0
355,2020-03-06,Italy,4636.0,197.0
354,2020-03-06,South Korea,6593.0,42.0
353,2020-03-06,Mainland China,80573.0,3042.0
352,2020-03-06,US,278.0,14.0
351,2020-03-05,Total,90589.0,3208.0
350,2020-03-05,Republic of Korea,0.0,0.0
349,2020-03-05,"Korea, South",0.0,0.0
348,2020-03-05,China,0.0,0.0
347,2020-03-05,Italy,3858.0,148.0
346,2020-03-05,South Korea,6088.0,35.0
345,2020-03-05,Mainland China,80422.0,3013.0
344,2020-03-05,US,221.0,12.0
343,2020-03-04,Total,89134.0,3134.0
342,2020-03-04,Republic of Korea,0.0,0.0
341,2020-03-04,"Korea, South",0.0,0.0
340,2020-03-04,China,0.0,0.0
339,2020-03-04,Italy,3089.0,107.0
338,2020-03-04,South Korea,5621.0,35.0
337,2020-03-04,Mainland China,80271.0,2981.0
336,2020-03-04,US,153.0,11.0
335,2020-03-03,Total,87961.0,3059.0
334,2020-03-03,Republic of Korea,0.0,0.0
333,2020-03-03,"Korea, South",0.0,0.0
332,2020-03-03,China,0.0,0.0
331,2020-03-03,Italy,2502.0,79.0
330,2020-03-03,South Korea,5186.0,28.0
329,2020-03-03,Mainland China,80151.0,2945.0
328,2020-03-03,US,122.0,7.0
327,2020-03-02,Total,86498.0,2998.0
326,2020-03-02,Republic of Korea,0.0,0.0
325,2020-03-02,"Korea, South",0.0,0.0
324,2020-03-02,China,0.0,0.0
323,2020-03-02,Italy,2036.0,52.0
322,2020-03-02,South Korea,4335.0,28.0
321,2020-03-02,Mainland China,80026.0,2912.0
